£AZISKA ,(149180030)
BARDO ,(150160220)
BIA£A NYSKA ,(150170050)
BIA£OBRZEZIE ,(150160250)†
B£AØKOWA ,(150150130)
BOGDAJ ,(151170060)
BOGDASZOWICE ,(151160180)
BOJAN”W ,(150180040)
BOR”W ,(150160280)
BRANICE ,(150170170)
BRZEG ,(150170090)
BRZEG DOLNY ,(151160170)
BUKOWNA ,(151160040)
BUK”WKA ,(150150120)
BYSTRZYCA K£ODZKA ,(150160150)
CHA£UPKI ,(149180020)
CHOJN”W ,(151150180)
CHWALISZ”W ,(150160030)
DOBRA ,(150170220)
DOMARADZ ,(150170200)
DUNINO ,(151160050)
DZIERØONI”W ,(150160140)
GLIWICE ,(150180220)
G£OG”W ,(151160060)
G£UCHO£AZY ,(150170070)
GNIECHOWICE ,(150160290)
GORZUCH”W ,(150160100)
GRAB”WKA ,(150180080)
JARNO£T”W ,(151160190)
JARNO£T”WEK ,(150170080)
JAWOR ,(151160090)
JUGOWICE ,(150160060)
KAMIENIEC Z•BKOWICKI ,(150160270)
KAMIENNA G”RA ,(150160010)
KAMIONKA ,(150180010)
KANCLERZOWICE ,(151160220)
KAR£OWICE ,(150170150)
K£ODZKO ,(150160180)
KOPICE ,(150170100)
KORZE—SKO ,(151160200)
KOWARY ,(150150110)
KOèLE ,(150180030)
KRAPKOWICE ,(150170240)
KRASK”W ,(150160120)
KRZYWA G”RA ,(150170210)
KRZYØANOWICE ,(149180010)
KRZYØANOWICE ,(151170010)
KRZYØANOWICE ,(151170010) 
KUDOWA-ZDR”J-ZAKRZE ,(150160040)
L•DEK-ZDR”J ,(150160230)
LENARTOWICE ,(150180070)
LUBACH”W ,(150160070)
£AØANY ,(150160090)
£•KI ,(151170040)
£OMNICA ,(150150090)
MALCZYCE ,(151160150)
MALERZOWICE WIELKIE ,(150170320)
MIETK”W ,(150160160)
MI DZYLESIE ,(150160190)
MOåCISKO ,(150160130)
NAMYS£”W ,(151170090)
NAMYS£”W ,(151170090)†
NIEMODLIN ,(150170120)
NYSA ,(150170060)
ODOLAN”W ,(151170080)
OLZA ,(149180300)
O£AWA ,(150170030)†
O£AWA ,(150170040)
OSETNO ,(151160140)
PI•TNICA ,(151160100)
PRUDNIK ,(150170110)
PYSKOWICE ,(150180170)
PYSKOWICE-DZIERØNO ,(150180160)
RACIB”RZ-MIEDONIA ,(150180060)
RAC£AWICE åL•SKIE ,(150170180)
RUDA KOZIELSKA ,(150180110)†
RYBNIK-GOTARTOWICE ,(150180280)
RYBNIK-STODO£Y ,(150180130)
RYDZYNA ,(151160160)
RZESZOTARY ,(151160080)
RZYM”WKA ,(151160020)
SKOROGOSZCZ ,(150170140)
SZALEJ”W DOLNY ,(150160110)
åCINAWA ,(151160130)
åL ZA ,(151160230)
åWIEBODZICE ,(150160020)
åWIERZAWA ,(151150170)
T£UMACZ”W ,(150160080)
TRESTNO ,(151170030)
UJåCIE NYSY K£ODZKIEJ ,(150170130)
WILKAN”W ,(150160210)
WINNICA ,(151160070)
WOJAN”W ,(150150100)
ZAGRODNO ,(151150160)
ZBOROWICE ,(150170010)
ZBYTOWA ,(151170050)
ZBYTOWA ,(151170050)
ØELAZNO ,(150160200)
